Z	    M	Z	    M	Z	    M	Z	    M	Z	    M
1	    2	1.4	    3	1.8	    7	2.2	    18	2.6	    54
1.02	2	1.42	3	1.82	7	2.22	19	2.62	57
1.04	2	1.44	3	1.84	8	2.24	20	2.64	60
1.06	2	1.46	3	1.86	8	2.26	21	2.66	64
1.08	2	1.48	4	1.88	8	2.28	22	2.68	68
1.1	    2	1.5	    4	1.9	    9	2.3	    23	2.7	    72
1.12	2	1.52	4	1.92	9	2.32	25	2.72	77
1.14	2	1.54	4	1.94	10	2.34	26	2.74	81
1.16	2	1.56	4	1.96	10	2.36	27	2.76	87
1.18	2	1.58	4	1.98	10	2.38	29	2.78	92
1.2	    2	1.6	    5	2	    11	2.4	    30	2.8	    98
1.22	2	1.62	5	2.02	12	2.42	32	2.82	104
1.24	2	1.64	5	2.04	12	2.44	34	2.84	111
1.26	2	1.66	5	2.06	13	2.46	36	2.86	118
1.28	2	1.68	5	2.08	13	2.48	38	2.88	126
1.3	    3	1.7	    6	2.1	    14	2.5	    40	2.9	    134
1.32	3	1.72	6	2.12	15	2.52	43	2.92	143
1.34	3	1.74	6	2.14	16	2.54	45	2.94	152
1.36	3	1.76	6	2.16	16	2.56	48	2.96	163
1.38	3	1.78	7	2.18	17	2.58	51	2.98	173
